bundesland, area, population
Schleswig-Holstein,15 804.31,2 965 691
Hamburg, 755.09,1 910 160
Niedersachsen,47 709.90,8 161 981
Bremen, 419.61, 691 703
Nordrhein-Westfalen,34 112.65,18 190 422
Hessen,21 115.64,6 420 729
Rheinland-Pfalz,19 857.96,4 174 311
Baden-Württemberg,35 747.85,11 339 260
Bayern,70 541.77,13 435 062
Saarland,2 572.01, 994 424
Berlin,891.12,3 782 202
Brandenburg,29 654.36,2 581 667
Mecklenburg-Vorpommern,23 294.83,1 629 464
Sachsen,18 449.86,4 089 467
Sachsen-Anhalt,20 554.84,2 180 448
Thüringen,16 202.39,2 122 335
